Fri Nov 29 2019 14:38:23 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.062,18.5
0.157,18.3
0.251,18.5
0.341,18.5
0.432,18.5
0.534,18.3
0.618,18.5
0.712,16.3
0.805,14.3
0.899,13.0
0.992,10.8
1.08,10.3
1.181,9.5
1.317,9.0
1.361,8.5
1.472,8.5
1.56,9.3
1.644,10.0
1.737,11.0
1.83,11.3
1.922,12.0
2.017,12.5
2.111,13.3
2.199,13.8
2.299,14.0
2.387,14.3
2.484,15.0
2.598,15.0
2.694,14.8
2.764,15.3
2.856,15.8
2.949,15.8
3.043,16.0
3.141,16.0
3.227,16.0
3.322,16.0
3.415,16.3
3.503,16.0
3.602,16.3
3.698,16.5
3.785,16.3
3.878,16.5
3.973,16.0
4.077,16.5
4.163,16.8
4.251,16.8
4.347,16.8
4.433,16.8
4.534,17.0
4.629,17.0
4.714,17.0
4.816,16.5
4.904,16.8
4.995,17.0
5.09,17.0
5.183,17.0
5.276,17.0
5.372,17.0
5.457,17.3
5.554,17.3
5.649,16.8
5.74,17.3
5.834,17.3
5.927,17.0
6.02,17.3
6.114,17.3
6.206,17.3
6.296,17.5
6.394,17.5
6.483,17.3
6.582,17.5
6.681,17.5
6.772,17.5
6.86,17.5
6.949,17.8
7.042,17.3
7.133,17.8
7.229,17.8
7.324,17.8
7.414,17.8
7.509,17.8
7.602,17.8
7.701,17.8
7.796,17.8
7.885,17.8
7.977,17.8
8.07,17.5
8.162,18.0
8.256,17.8
8.344,18.0
8.444,18.0
8.534,18.0
8.627,18.0
8.723,17.8
8.822,18.0
8.908,17.8
9.009,18.0
9.095,18.0
9.187,18.0
9.281,18.0
9.37,18.0
9.467,18.0
