Mon Dec 23 2019 18:37:15 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.191,NaN
0.489,NaN
0.561,NaN
0.889,NaN
0.949,NaN
1.142,NaN
1.341,NaN
1.543,NaN
1.854,NaN
1.926,NaN
2.123,NaN
2.318,NaN
2.513,NaN
2.708,NaN
2.959,NaN
3.132,NaN
3.294,NaN
3.493,NaN
3.686,NaN
3.886,NaN
4.228,NaN
4.359,NaN
4.472,NaN
4.662,NaN
4.864,NaN
5.054,NaN
5.25,NaN
5.593,NaN
5.652,NaN
5.839,NaN
6.033,NaN
6.23,NaN
6.424,NaN
6.624,NaN
6.88,NaN
7.015,NaN
7.209,NaN
7.406,NaN
7.596,NaN
7.792,NaN
7.987,NaN
8.283,NaN
8.381,NaN
8.573,NaN
8.769,NaN
9.039,NaN
9.187,NaN
9.555,NaN
9.595,NaN
9.751,NaN
9.947,NaN
10.14,NaN
10.334,NaN
10.533,NaN
