Fri Nov 29 2019 14:43:21 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.048,19.0
0.139,19.0
0.231,19.0
0.323,19.0
0.415,19.0
0.517,18.8
0.619,17.8
0.696,19.0
0.796,17.8
0.881,15.5
0.977,12.3
1.07,12.0
1.169,11.0
1.255,10.3
1.379,9.3
1.441,9.3
1.534,9.5
1.627,9.8
1.72,11.0
1.821,11.0
1.908,12.0
2.001,12.3
2.094,13.0
2.186,13.8
2.28,14.0
2.373,14.5
2.465,15.0
2.558,15.3
2.652,15.0
2.745,15.5
2.849,16.0
2.931,15.5
3.025,16.0
3.118,16.0
3.211,16.0
3.304,16.5
3.393,16.5
3.487,16.0
3.582,16.5
3.675,16.8
3.767,16.3
3.863,16.8
3.952,17.0
4.046,16.8
4.137,17.0
4.235,17.0
4.326,17.0
4.415,17.0
4.51,17.3
4.61,16.8
4.697,17.3
4.795,17.3
4.89,17.3
4.98,17.5
5.075,17.0
5.167,17.5
5.259,17.5
5.354,17.5
5.445,17.8
5.549,17.8
5.682,17.8
5.751,17.5
5.821,17.8
5.914,17.3
6.005,17.8
6.097,17.8
6.195,17.8
6.285,18.0
6.372,18.0
6.471,17.8
6.561,18.0
6.658,18.0
6.745,17.5
6.838,18.0
6.939,18.0
7.03,17.8
7.123,18.0
7.218,18.0
7.309,17.8
7.399,18.0
7.492,18.3
7.602,17.8
7.685,18.3
7.786,18.3
7.873,15.0
7.961,18.3
8.055,18.3
8.146,18.0
8.239,18.3
8.333,18.3
8.425,18.3
8.519,18.3
8.614,18.3
