Wed Nov 27 2019 19:56:25 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.049,81.7
0.167,82.2
0.247,81.7
0.348,81.7
0.449,81.3
0.547,81.3
0.656,81.3
0.758,81.3
0.852,81.3
0.953,80.8
1.058,80.8
1.151,80.8
1.254,80.8
1.353,80.8
1.477,80.8
1.63,79.8
1.671,68.4
1.755,80.3
1.854,80.3
2.056,80.3
2.081,80.3
2.167,80.3
2.269,80.3
2.371,80.3
2.469,79.8
2.57,79.8
2.671,79.8
2.771,79.8
2.872,79.8
2.973,79.8
3.072,79.8
3.172,79.8
3.273,79.3
3.374,79.3
3.473,79.3
3.575,79.3
3.678,79.3
3.781,79.3
3.878,78.9
3.979,79.3
4.109,79.3
4.18,79.3
4.281,78.9
4.387,78.9
4.489,78.9
4.584,78.9
4.688,75.0
4.784,60.7
4.884,48.8
4.984,39.7
5.089,31.6
5.186,25.3
5.287,20.1
5.387,15.3
5.489,11.5
5.587,8.1
5.688,6.2
5.789,3.8
5.887,2.4
5.99,1.0
6.112,0.5
6.193,0.0
6.299,0.0
6.394,0.0
6.494,0.0
6.602,0.0
6.703,-0.5
6.804,-0.5
6.903,-0.5
7.005,-0.5
7.105,-0.5
7.21,-0.5
7.307,-0.5
7.406,-0.5
7.506,-0.5
7.608,-0.5
7.708,-0.5
7.812,-0.5
7.912,0.0
8.041,-0.5
8.128,0.0
8.217,-0.5
8.317,-0.5
8.42,-0.5
8.522,-0.5
8.62,-0.5
8.718,-0.5
8.824,-0.5
8.923,-0.5
9.023,-0.5
9.123,-0.5
9.225,-0.5
9.327,-0.5
9.427,-0.5
9.529,-0.5
