Fri Nov 29 2019 14:42:37 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.027,-0.1
0.116,-0.1
0.213,-0.1
0.304,-0.1
0.399,-0.1
0.492,-0.1
0.626,-0.1
0.679,0.4
0.768,7.7
0.861,16.0
0.961,14.4
1.056,11.6
1.142,9.5
1.235,8.0
1.329,6.7
1.431,5.7
1.512,4.7
1.603,3.9
1.701,3.2
1.793,2.6
1.886,2.1
1.988,1.7
2.078,1.3
2.169,1.0
2.262,0.8
2.355,0.6
2.446,0.6
2.539,0.5
2.629,0.5
2.727,0.5
2.815,0.5
2.908,0.5
3.005,0.5
3.106,0.5
3.192,0.5
3.293,0.5
3.382,0.5
3.474,0.4
3.566,0.4
3.655,0.4
3.748,0.4
3.839,0.5
3.936,0.4
4.032,0.4
4.126,0.4
4.216,0.4
4.31,0.4
4.402,0.4
4.495,0.4
4.587,0.4
4.684,0.4
4.774,0.4
4.867,0.4
4.956,0.4
5.054,0.4
5.151,0.4
5.24,0.4
5.334,0.4
5.426,0.4
5.52,0.4
5.612,0.4
5.705,0.4
5.801,0.4
5.895,0.4
5.983,0.4
6.079,0.4
6.177,0.4
6.265,0.4
6.363,0.4
6.452,0.4
6.544,0.4
6.687,0.4
6.833,0.4
6.836,0.4
6.959,0.3
7.101,0.3
7.104,0.3
7.228,0.3
7.318,0.3
7.377,0.3
7.475,0.3
7.569,0.3
7.663,0.3
7.752,0.3
7.844,0.3
7.943,0.3
8.038,0.3
8.128,0.3
8.225,0.3
8.313,0.3
8.407,0.3
8.497,0.3
8.594,0.3
8.688,0.3
8.782,0.3
8.873,0.3
8.964,0.3
9.059,0.3
9.153,0.3
9.245,0.3
9.336,0.3
9.427,0.3
9.523,0.3
9.632,0.3
9.711,0.3
9.802,0.3
9.908,0.3
9.993,0.3
10.077,0.3
10.197,0.3
10.279,0.3
10.37,0.3
10.459,0.3
10.549,0.3
10.64,0.3
10.735,0.3
10.826,0.3
10.922,0.3
11.01,0.3
11.105,0.3
11.202,0.3
11.304,0.3
11.389,0.3
11.479,0.3
11.584,0.3
11.659,0.3
