Thu Dec 05 2019 19:11:27 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.05,98.5
0.147,98.5
0.252,98.5
0.355,99.0
0.456,98.5
0.561,88.2
0.668,89.7
0.765,89.7
0.87,89.7
0.969,90.3
1.074,90.3
1.178,90.3
1.287,90.8
1.381,90.8
1.485,91.3
1.59,91.3
1.691,91.3
1.794,91.3
1.897,91.3
2,91.3
2.103,91.8
2.205,91.8
2.308,91.8
2.411,91.8
2.514,91.8
2.653,92.3
2.717,92.3
2.822,92.3
2.925,92.3
3.03,92.3
3.132,92.8
3.231,92.3
3.334,92.8
3.441,92.8
3.543,92.8
3.646,92.8
3.751,92.8
3.851,92.8
3.958,93.3
4.064,92.8
4.16,92.8
4.263,92.8
4.369,92.8
4.47,93.3
4.572,92.8
4.675,92.8
4.776,92.8
4.884,92.8
4.984,92.8
5.086,92.8
5.192,92.8
5.293,92.8
5.396,92.3
5.5,92.8
5.603,92.8
5.704,92.8
5.807,92.8
5.91,92.8
6.014,92.8
6.118,92.8
6.219,92.8
6.327,92.8
6.424,92.8
6.528,92.8
6.631,104.6
6.735,105.1
6.833,105.1
6.941,105.1
7.042,104.6
7.156,104.6
7.247,104.1
7.351,104.1
7.455,104.1
7.557,103.6
7.66,103.6
7.761,103.6
7.864,103.6
7.968,103.1
8.07,103.1
8.174,103.1
8.278,103.1
8.386,102.6
8.482,103.1
8.585,103.1
8.688,102.6
8.79,102.6
8.892,102.0
9.001,102.6
9.098,102.6
9.202,102.6
9.305,102.6
9.404,102.6
9.514,102.0
9.613,102.0
9.719,102.0
9.818,102.6
9.924,102.0
10.022,102.0
10.136,102.0
10.23,102.0
10.333,102.0
10.436,102.0
10.539,102.0
10.641,102.0
10.744,102.0
10.847,102.0
10.952,102.0
11.054,102.0
11.157,102.0
11.259,101.5
11.361,101.5
11.464,102.0
