Fri Nov 29 2019 14:40:45 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.031,96.4
0.127,96.4
0.217,95.9
0.31,95.9
0.407,95.4
0.507,95.9
0.657,95.4
0.68,95.4
0.779,78.2
0.868,63.9
0.962,52.8
1.055,43.1
1.146,35.0
1.241,28.4
1.344,22.3
1.429,18.3
1.526,13.7
1.62,10.6
1.734,8.1
1.799,6.1
1.889,4.0
1.984,2.0
2.076,1.0
2.17,0.5
2.258,-0.0
2.355,-0.0
2.454,-0.5
2.546,-0.0
2.637,-0.5
2.732,-0.5
2.826,-0.0
2.92,-0.5
3.014,-0.0
3.102,-0.5
3.191,-0.5
3.289,-0.5
3.385,-0.5
3.475,2.0
3.567,-0.5
3.66,-0.5
3.761,-0.0
3.847,-0.5
3.939,-0.0
4.035,-0.5
4.124,-0.5
4.216,-0.5
4.31,-0.5
4.402,-0.0
4.501,-0.5
4.595,-0.0
4.684,-0.5
4.778,-0.5
4.874,-0.5
4.966,-0.5
5.059,-0.5
5.151,-0.0
5.252,-0.0
5.335,-0.0
5.43,-0.5
5.532,-0.0
5.616,-0.5
5.709,-0.0
5.804,-0.0
5.896,-0.0
5.991,-0.0
6.083,-2.6
6.171,-0.0
6.271,-0.0
6.363,-0.0
6.455,-0.0
6.549,-0.0
6.641,-0.0
6.736,-0.0
6.827,-0.0
6.92,-0.0
7.022,-0.5
7.103,-2.1
7.207,-0.0
7.316,-0.0
7.384,-0.0
7.479,-0.5
7.577,-0.0
7.67,-0.0
7.76,-0.0
7.852,-0.0
7.945,-0.5
8.039,-0.0
8.127,-0.0
8.222,-0.0
8.318,-0.0
8.406,-0.0
8.502,-0.0
8.623,-0.5
8.765,-0.0
8.781,-0.0
8.876,-0.0
8.981,-0.0
9.063,-1.0
9.157,-1.6
9.256,-0.0
9.343,-0.0
9.432,-0.0
9.522,-0.0
