Wed Nov 27 2019 20:07:28 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.056,22.0
0.15,22.0
0.257,22.3
0.375,22.3
0.458,22.0
0.567,22.0
0.669,22.3
0.773,22.3
0.875,22.0
0.976,22.0
1.091,22.3
1.184,22.3
1.278,22.0
1.387,22.0
1.487,22.0
1.605,22.0
1.705,22.0
1.812,22.0
1.888,22.0
1.991,22.0
2.101,22.0
2.193,22.3
2.292,22.0
2.392,22.0
2.495,22.0
2.596,22.0
2.701,22.3
2.799,22.3
2.906,22.0
3.001,22.0
3.102,22.0
3.203,22.0
3.302,22.0
3.394,22.0
3.491,22.3
3.596,22.0
3.692,22.3
3.791,22.0
3.906,22.0
3.995,22.3
4.088,22.3
4.19,22.3
4.305,22.3
4.405,22.3
4.508,22.0
4.606,22.3
4.711,22.0
4.825,22.3
4.927,22.3
5.02,22.0
5.11,22.3
5.211,22.3
5.312,22.0
5.415,22.3
5.513,22.0
5.613,22.0
5.711,22.3
5.812,22.0
5.918,22.0
6.015,22.3
6.117,22.3
6.257,22.3
6.315,22.0
6.416,22.0
6.517,22.3
6.618,22.0
6.719,22.3
6.819,22.3
6.919,22.3
7.021,22.0
7.129,22.3
7.209,22.0
7.307,22.3
7.396,22.3
7.498,22.3
7.598,22.3
7.697,22.3
7.799,22.3
7.902,22.0
8.004,22.3
8.104,22.3
8.203,22.3
8.302,22.3
8.406,22.3
8.506,22.0
