Wed Nov 27 2019 19:47:06 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.076,79.3
0.179,79.3
0.283,78.9
0.376,78.9
0.476,78.9
0.572,78.9
0.677,78.9
0.78,79.3
0.881,78.9
0.988,78.9
1.086,78.4
1.19,78.4
1.29,78.4
1.394,78.4
1.49,78.4
1.592,78.4
1.69,76.5
1.79,77.9
1.886,77.9
1.99,77.9
2.091,77.9
2.19,77.9
2.292,77.9
2.394,77.9
2.496,77.9
2.595,77.9
2.695,77.4
2.796,77.4
2.904,77.4
2.996,77.4
3.097,77.4
3.197,77.0
3.3,77.0
3.399,77.0
3.505,77.0
3.612,77.0
3.711,77.0
3.8,77.0
3.902,76.5
4.003,76.5
4.108,76.5
4.203,76.5
4.304,76.5
4.406,76.5
4.506,76.5
4.607,76.5
4.716,76.5
4.809,76.5
4.911,76.5
5.012,76.5
5.116,76.5
5.214,76.5
5.314,76.0
5.414,76.0
5.512,76.0
5.615,76.0
5.717,76.0
5.819,76.0
5.929,76.0
6.03,76.0
6.129,76.0
6.227,76.0
6.329,75.5
6.431,75.5
6.534,75.5
6.636,75.5
6.745,75.5
6.841,75.0
6.938,75.0
7.037,75.0
7.136,74.6
7.235,74.6
7.336,74.6
7.436,74.6
7.538,74.6
7.64,74.6
7.739,74.6
7.843,74.6
7.94,74.6
8.042,74.6
8.144,64.5
8.239,74.6
8.341,74.6
8.45,74.6
8.544,74.6
8.644,74.6
8.745,74.6
8.844,74.6
8.946,74.6
9.049,74.1
9.149,74.1
9.25,74.1
9.348,74.1
9.451,74.1
9.551,74.1
