Sat Nov 30 2019 12:44:59 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.046,-4.4
0.132,-4.4
0.226,-4.4
0.332,-4.4
0.466,-4.4
0.506,-4.3
0.651,-4.3
0.693,-3.8
0.786,4.8
0.879,14.3
0.983,12.9
1.065,10.5
1.159,8.5
1.265,7.0
1.35,5.8
1.442,4.8
1.533,4.0
1.623,3.2
1.715,2.6
1.812,2.0
1.905,1.5
2.001,1.1
2.103,0.8
2.185,0.6
2.277,0.4
2.37,0.3
2.467,0.3
2.554,0.3
2.65,0.3
2.741,0.3
2.838,0.3
2.929,0.2
3.024,0.2
3.126,0.3
3.212,0.2
3.305,0.2
3.398,0.2
3.492,0.2
3.589,0.2
3.675,0.2
3.783,0.2
3.877,0.2
3.975,0.0
4.052,-0.0
4.154,0.0
4.248,-0.0
4.335,-0.0
4.427,-0.0
4.516,-0.0
4.61,-0.0
4.722,-0.0
4.835,-0.0
4.89,-0.0
4.984,-0.0
5.093,-0.0
5.191,-0.0
5.266,-0.0
5.357,-0.0
5.452,-0.0
5.547,-0.0
5.637,-0.1
5.729,-0.1
5.824,-0.1
5.914,-0.0
6.032,-0.0
6.102,-0.1
6.203,-0.1
6.296,-0.1
6.389,-0.1
6.468,-0.1
6.565,-0.0
6.658,-0.1
6.752,-0.1
6.843,-0.1
6.943,-0.1
7.033,-0.1
7.13,-0.1
7.229,-0.1
7.327,-0.1
7.408,-0.1
7.499,-0.1
7.593,-0.1
7.687,-0.1
7.781,-0.1
7.874,-0.1
7.968,-0.1
8.062,-0.1
8.154,-0.1
8.253,-0.1
8.35,-0.1
8.481,-0.1
8.533,-0.1
8.66,-0.1
