Sat Nov 30 2019 12:02:39 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.032,20.0
0.129,20.0
0.22,19.5
0.31,20.3
0.407,20.0
0.5,19.8
0.636,20.3
1.618,20.0
1.711,20.0
1.802,20.0
1.894,19.3
1.992,20.0
2.089,20.0
2.18,19.8
2.286,20.0
2.362,19.8
2.589,19.3
2.594,20.3
2.702,20.0
2.766,20.0
2.848,20.0
2.923,19.3
3.016,20.0
3.111,20.0
3.208,19.8
3.295,20.0
3.395,20.0
3.484,20.0
3.575,20.0
3.675,20.0
3.763,20.0
3.857,20.0
3.947,20.3
4.04,19.8
4.139,20.0
4.231,20.0
4.325,20.0
4.414,20.0
4.508,20.0
4.605,20.0
4.695,20.0
4.791,20.0
4.882,20.0
4.974,20.0
5.077,20.0
5.167,19.8
5.253,20.0
5.348,20.0
5.441,20.0
5.531,20.0
5.628,19.3
5.721,20.0
5.813,20.0
5.915,20.0
6,20.0
6.089,20.0
6.184,20.0
6.283,19.8
6.374,20.0
6.464,19.3
6.563,20.0
6.652,20.0
6.744,19.8
6.841,20.0
6.935,20.0
7.033,20.0
7.119,20.0
7.214,20.0
7.321,19.5
7.4,20.0
7.493,20.0
7.582,19.8
7.684,20.0
7.773,20.0
7.866,19.5
7.958,20.0
8.049,20.0
8.153,19.5
8.242,20.0
8.35,20.0
8.419,20.0
8.548,20.0
8.624,20.0
8.702,19.8
8.793,20.0
8.907,20.0
8.982,20.0
9.075,20.0
9.166,20.0
9.257,19.8
9.355,20.0
9.451,19.5
9.554,19.3
