Thu Dec 19 2019 20:57:47 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.029,80.8
0.13,80.9
0.225,80.9
0.326,80.8
0.42,80.9
0.523,81.0
0.625,81.0
0.721,80.9
0.812,80.9
0.914,81.0
1.007,81.0
1.11,80.9
1.204,81.0
1.301,81.0
1.399,81.0
1.501,81.0
1.594,81.1
1.694,81.0
1.791,81.1
1.889,81.1
1.986,81.2
2.09,81.2
2.18,81.2
2.278,81.2
2.377,81.2
2.477,81.2
2.579,81.2
2.672,81.2
2.771,81.2
2.864,81.3
2.967,81.3
3.067,81.3
3.157,81.3
3.264,81.3
3.353,81.3
3.453,81.3
3.548,81.3
3.65,81.4
3.746,81.4
3.847,81.4
3.945,81.4
4.042,81.3
4.135,81.4
4.237,81.4
4.33,81.4
4.429,81.4
4.525,81.4
4.625,81.4
4.72,81.4
4.825,81.4
4.917,81.4
5.018,81.4
5.113,81.5
5.214,81.4
5.31,81.4
5.409,81.4
5.504,81.5
5.604,81.5
5.699,81.5
5.802,81.5
5.896,81.5
5.997,81.5
6.095,81.5
6.189,81.5
6.286,81.5
6.392,81.5
6.482,81.5
6.582,81.5
6.677,81.5
6.779,81.5
6.874,81.5
6.974,81.5
7.07,81.5
7.17,81.6
7.265,81.6
7.365,81.6
7.461,81.6
7.559,81.6
7.654,81.6
7.763,81.6
7.879,81.6
7.948,81.6
8.048,81.6
8.148,81.6
8.284,81.6
8.339,81.6
8.437,81.5
8.541,81.3
8.636,81.3
8.732,81.3
8.838,81.3
8.924,81.3
9.021,81.3
9.121,81.4
9.221,81.4
9.318,81.3
9.433,81.4
9.515,81.3
9.613,81.4
9.709,81.4
9.808,81.4
9.906,81.4
10.001,81.4
10.101,81.4
10.196,81.4
10.298,81.4
10.395,81.4
10.494,81.4
10.588,81.4
10.692,81.5
10.862,81.4
10.88,81.5
10.979,81.4
11.093,81.5
11.184,81.5
11.272,81.5
11.369,81.5
11.47,81.5
11.565,81.5
11.668,81.5
11.761,81.4
11.86,81.4
11.958,81.4
12.056,81.4
12.152,81.5
12.249,81.4
12.347,81.5
12.449,81.5
12.549,81.4
12.64,81.5
12.738,81.5
12.842,81.5
12.933,81.5
13.034,81.5
13.129,81.5
13.231,81.5
13.325,81.5
13.429,81.5
13.522,81.5
13.638,81.5
13.734,81.3
13.815,81.6
13.965,81.7
14.01,81.5
14.109,81.6
14.204,81.5
14.309,81.5
14.405,81.5
14.499,81.5
14.601,81.5
14.697,81.5
14.796,81.6
14.889,81.5
14.995,81.5
15.087,81.5
15.186,81.5
15.28,81.5
15.383,81.5
15.477,81.5
15.576,81.5
