Mon Dec 23 2019 18:39:35 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.045,98.0
0.047,98.0
0.123,98.0
0.15,98.0
0.318,98.0
0.348,97.4
0.517,98.0
0.572,97.4
0.712,81.5
0.749,79.5
0.904,66.7
0.94,64.6
1.231,54.4
1.234,55.4
1.37,44.1
1.375,45.6
1.502,36.4
1.526,35.4
1.686,29.7
1.723,28.7
1.881,24.1
1.915,23.1
2.078,19.5
2.106,19.0
2.327,15.4
2.329,17.4
2.584,12.3
2.586,13.8
2.67,9.2
2.706,8.7
2.863,6.7
2.896,6.7
3.055,5.1
3.092,5.1
3.253,4.1
3.288,3.1
3.445,2.6
3.48,2.6
3.642,1.5
3.7,1.5
3.986,1.5
3.994,1.0
4.08,1.0
4.082,0.5
4.226,0.0
4.261,0.5
4.424,0.5
4.463,0.5
4.62,1.0
4.654,0.5
4.816,0.0
4.896,0.0
5.194,0.0
5.196,2.6
5.214,0.5
5.248,0.5
5.401,0.5
5.44,0.0
5.601,0.0
5.636,0.0
5.797,0.0
5.831,1.0
5.996,1.0
6.033,1.0
6.189,1.5
6.262,1.0
6.549,3.6
6.552,1.0
6.606,1.5
6.62,2.0
6.767,2.0
6.807,2.0
6.968,2.6
7.001,2.0
7.159,2.0
7.193,2.6
7.372,2.6
7.584,3.1
7.675,3.1
7.677,5.1
7.77,3.1
7.789,3.1
7.945,3.1
7.979,3.1
8.143,3.1
8.179,3.6
8.336,3.6
8.372,5.6
8.534,3.6
8.573,3.1
8.732,3.6
8.792,4.1
9.095,4.1
9.097,6.2
9.121,4.1
9.162,4.1
9.316,4.6
9.35,2.0
9.515,4.1
9.54,4.6
9.718,4.6
9.74,4.6
9.907,5.1
9.93,4.6
10.108,4.6
10.128,4.6
10.404,4.6
10.406,5.1
10.495,5.1
10.523,5.1
