Fri Nov 29 2019 14:37:57 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.08,97.8
0.174,98.3
0.267,98.3
0.359,97.8
0.452,98.3
0.544,98.3
0.646,98.3
0.731,84.1
0.827,75.4
0.919,66.8
1.015,60.7
1.103,56.1
1.197,52.1
1.291,48.5
1.384,46.5
1.477,43.5
1.572,42.5
1.661,40.4
1.753,38.9
1.846,37.9
1.942,36.4
2.04,35.9
2.129,34.8
2.223,34.3
2.315,33.3
2.41,32.8
2.501,32.8
2.594,32.3
2.685,31.8
2.781,31.8
2.87,31.3
2.967,30.8
3.065,30.8
3.153,30.8
3.25,30.3
3.34,30.3
3.432,30.3
3.525,30.3
3.619,29.8
3.713,29.8
3.802,30.3
3.898,29.8
3.988,29.8
4.087,29.8
4.177,29.3
4.273,29.8
4.364,29.3
4.458,29.3
4.555,29.3
4.643,28.7
4.733,36.4
4.826,43.0
4.92,49.5
5.025,55.6
5.111,61.2
5.201,66.8
5.295,71.4
5.389,76.0
5.481,80.0
5.574,84.1
5.67,87.1
5.834,89.7
5.85,91.7
5.947,93.2
6.045,95.2
6.135,96.3
6.223,96.8
6.321,97.8
6.418,97.8
6.503,98.3
6.598,98.3
6.694,98.3
6.782,83.0
6.875,71.9
6.973,73.4
7.061,73.4
7.167,73.4
7.25,73.4
7.343,73.4
7.436,73.4
7.53,73.4
7.622,73.4
7.715,73.4
7.81,73.4
7.9,73.4
7.995,72.9
8.085,72.9
8.183,73.4
8.272,79.0
8.368,84.1
8.458,84.6
8.557,84.1
8.647,89.2
8.737,92.2
8.83,92.7
8.926,92.2
9.016,92.2
9.113,91.7
9.208,91.7
9.302,91.7
9.392,91.2
9.486,91.2
