Wed Nov 27 2019 20:07:28 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.059,28.5
0.154,29.1
0.26,28.7
0.377,28.6
0.465,28.6
0.574,30.1
0.677,30.2
0.781,28.3
0.883,27.1
0.985,27.2
1.102,28.5
1.188,28.3
1.284,28.0
1.395,28.3
1.494,28.3
1.611,28.8
1.713,27.5
1.818,26.7
1.895,27.3
1.998,28.9
2.108,28.9
2.199,27.6
2.3,29.6
2.401,28.8
2.504,28.0
2.604,28.6
2.703,29.7
2.808,29.5
2.908,28.7
3.009,29.2
3.11,29.0
3.211,28.2
3.309,29.3
3.398,29.1
3.493,29.8
3.597,30.4
3.693,29.4
3.794,28.4
3.913,28.4
3.998,28.4
4.101,29.6
4.199,30.0
4.313,29.6
4.414,30.0
4.515,29.4
4.614,28.4
4.718,28.0
4.829,29.7
4.938,30.5
5.025,29.3
5.119,28.4
5.219,29.0
5.32,28.9
5.424,29.1
5.521,29.3
5.622,29.6
5.718,29.4
5.814,30.5
5.92,30.3
6.023,30.0
6.125,28.6
6.26,28.7
6.325,29.1
6.424,27.9
6.525,28.0
6.626,29.4
6.726,29.3
6.827,29.5
6.927,29.7
7.028,28.6
7.132,28.4
7.214,28.3
7.312,29.1
7.398,29.0
7.5,29.0
7.599,29.1
7.698,29.7
7.8,29.4
7.904,29.3
8.005,29.3
8.105,29.1
8.206,29.1
8.303,28.9
8.41,28.4
8.509,29.0
