Wed Dec 04 2019 14:37:22 GMT-0800 (Pacific Standard Time),
Time (s),Weight (?)
0.073,0
0.158,0
0.255,0
0.345,0
0.447,0
0.528,0
0.625,0
0.718,0.2
0.81,3.8
0.913,8.2
1,8.7
1.092,8.7
1.182,8.8
1.281,8.8
1.371,8.8
1.473,8.8
1.558,8.8
1.667,8.8
1.742,8.8
1.842,8.8
1.929,8.8
2.024,8.9
2.118,8.9
2.223,8.9
2.306,9
2.397,9
2.493,9
2.58,9
2.678,9.1
2.771,9.1
2.865,9.1
2.958,9.1
3.059,9.1
3.144,9.2
3.237,9.2
3.329,9.2
3.421,9.2
3.518,9.2
3.623,9.2
3.716,9.2
3.795,9.3
3.889,9.3
3.982,9.3
4.079,9.3
4.183,9.3
4.263,9.3
4.357,9.3
4.448,9.3
4.544,9.4
4.636,9.4
4.727,9.4
4.822,9.4
4.915,9.4
5.009,9.4
5.103,9.4
5.196,9.4
5.294,9.4
5.381,9.4
5.476,9.4
5.567,9.4
5.662,9.4
5.755,9.5
5.848,9.5
5.94,9.5
6.036,9.5
6.128,9.5
6.227,9.5
6.321,9.5
6.412,9.5
6.5,9.5
6.598,9.5
6.696,9.5
6.79,9.5
6.877,9.5
7.035,9.6
7.062,9.5
7.155,9.6
7.248,9.6
7.341,9.6
7.435,9.6
7.552,9.6
7.636,9.6
7.719,9.6
7.809,9.6
7.901,9.6
7.992,9.6
8.087,9.6
8.18,9.6
8.275,9.6
8.386,9.6
8.457,9.6
8.556,9.6
8.676,9.6
8.752,9.4
8.837,5.9
8.937,0.9
9.022,0.2
9.114,0.2
9.207,0.1
9.295,0.1
9.398,0.1
9.49,0.1
9.585,0.1
9.716,0.1
9.768,0.1
9.868,0.1
9.952,0.1
10.041,0.1
10.137,0.1
10.233,0.1
10.329,0.1
10.418,0.1
10.513,0.1
10.605,0.1
10.698,0.1
10.79,0.1
10.887,0.1
10.983,0.1
11.107,0.1
11.163,0.1
11.261,0.1
11.351,0.1
11.446,0.1
11.542,0
11.633,0.1
11.733,0.1
11.821,0.1
11.916,0
12.01,0
12.104,0
12.194,0.1
12.285,0
12.377,0
12.477,0
12.568,0
12.657,0
12.749,0
12.845,0
12.937,0
13.032,0
13.126,0
13.217,0
13.311,0
13.406,0
13.497,0
13.597,0
