Wed Nov 27 2019 20:09:57 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.066,39.9
0.163,40.5
0.265,41.8
0.37,41.3
0.466,39.3
0.563,40.9
0.666,40.6
0.775,39.8
0.865,37.2
0.973,34.0
1.077,32.3
1.18,32.2
1.271,31.3
1.373,31.2
1.476,32.3
1.575,32.9
1.676,32.3
1.775,34.0
1.885,33.0
1.988,33.3
2.089,34.5
2.188,34.2
2.288,33.6
2.386,33.8
2.489,33.7
2.59,34.3
2.689,34.1
2.791,32.7
2.889,32.2
2.994,33.0
3.103,34.2
3.199,34.6
3.297,34.0
3.393,33.1
3.497,33.9
3.603,33.8
3.705,33.5
3.797,33.7
3.899,34.3
4.004,34.8
4.105,33.2
4.204,32.5
4.303,32.4
4.402,33.5
4.502,33.7
4.605,32.7
4.704,32.3
4.802,32.8
4.91,33.6
5.004,34.8
5.112,34.6
5.261,33.9
5.311,34.1
5.409,32.4
5.506,33.3
5.605,32.7
5.707,32.5
5.807,33.6
5.91,34.0
6.011,33.2
6.11,33.5
6.211,33.5
6.309,33.3
6.411,34.0
6.512,33.7
6.621,32.9
6.72,32.9
6.815,33.7
6.911,33.4
7.015,34.1
7.116,33.9
7.223,33.2
7.315,32.9
7.415,33.6
7.522,33.8
7.615,34.0
7.717,34.5
7.822,33.8
7.92,32.9
8.016,34.0
8.12,33.5
8.223,32.9
8.325,32.6
8.435,33.2
8.523,34.7
