Time (s),Chamber Pressure (psi),Chamber Temp (K),Mass Flow Rate (g/s),Exit Pressure (psi),Pressure Ratio,Exit Mach Number,Exit Velocity (m/s),Instantaneous Thrust (N),,"Critical Mach, Sub","Critical Mach, Sup","Critical PR, Sub","Critical PR, Sup",PR for Shock at Exit,Mach Behind Exit Shock
1.4809999999999477,40.479698151044786,180.63702584421796,0.12631194430743733,9.19918339630796,0.22725424883314077,1.6513474245369202,293.33195669185915,0.03046623084608891,,,,,,,
1.4819999999999476,40.45284007321934,180.61014758332584,0.12623752919926756,9.193079784006638,0.2272542488331408,1.6513474245369202,293.31013241155625,0.030434840437212146,,,,,,,
1.4829999999999475,40.42600181239621,180.58327532168644,0.12616316346494516,9.186980675203287,0.22725424883314077,1.6513474245369202,293.28831137900005,0.030403473189479287,,,,,,,
1.4839999999999474,40.39918335248039,180.55640905751437,0.12608884706804002,9.180886066240257,0.22725424883314077,1.6513474245369202,293.2664935934655,0.030372129084079248,,,,,,,
1.4849999999999473,40.37238467739123,180.52954878902494,0.12601457997215187,9.174795953463146,0.22725424883314077,1.6513474245369202,293.2446790542279,0.03034080810221778,,,,,,,
1.4859999999999471,40.345605771062296,180.50269451443407,0.12594036214091006,9.16871033322079,0.22725424883314074,1.6513474245369202,293.22286776056274,0.03030951022511722,,,,,,,
1.486999999999947,40.31884661744139,180.47584623195837,0.1258661935379732,9.162629201865261,0.22725424883314077,1.6513474245369202,293.2010597117456,0.030278235434016535,,,,,,,
1.487999999999947,40.29210720049054,180.4490039398151,0.12579207412702964,9.156552555751858,0.22725424883314072,1.6513474245369202,293.1792549070524,0.03024698371017133,,,,,,,
1.4889999999999468,40.26538750418604,180.42216763622224,0.12571800387179718,9.150480391239132,0.2272542488331408,1.6513474245369202,293.1574533457593,0.030215755034853884,,,,,,,
1.4899999999999467,40.23868751251829,180.39533731939832,0.1256439827360229,9.144412704688825,0.22725424883314077,1.6513474245369202,293.1356550271425,0.03018454938935296,,,,,,,
1.4909999999999466,40.21200720949195,180.36851298756264,0.12557001068348356,9.138349492465933,0.22725424883314074,1.6513474245369202,293.1138599504786,0.030153366754973987,,,,,,,
1.4919999999999465,40.18534657912585,180.34169463893514,0.1254960876779852,9.132290750938669,0.2272542488331408,1.6513474245369202,293.0920681150444,0.030122207113038958,,,,,,,
1.4929999999999464,40.15870560545292,180.31488227173634,0.1254222136833632,9.126236476478445,0.2272542488331408,1.6513474245369202,293.0702795201167,0.030091070444886316,,,,,,,
1.4939999999999463,40.132084272520316,180.28807588418755,0.12534838866348236,9.120186665459906,0.22725424883314074,1.6513474245369202,293.04849416497285,0.03005995673187117,,,,,,,
1.4949999999999461,40.10548256438925,180.26127547451063,0.12527461258223674,9.114141314260904,0.2272542488331408,1.6513474245369202,293.02671204889003,0.03002886595536506,,,,,,,
1.495999999999946,40.07890046513512,180.2344810409282,0.12520088540354984,9.108100419262499,0.2272542488331408,1.6513474245369202,293.0049331711461,0.029997798096756068,,,,,,,
1.496999999999946,40.052337958847374,180.2076925816634,0.12512720709137432,9.102063976848951,0.22725424883314077,1.6513474245369202,292.98315753101866,0.02996675313744874,,,,,,,
1.4979999999999458,40.025795029629585,180.1809100949402,0.1250535776096921,9.09603198340773,0.22725424883314077,1.6513474245369202,292.9613851277859,0.029935731058864084,,,,,,,
1.4989999999999457,39.99927166159937,180.1541335789831,0.12497999692251427,9.090004435329499,0.22725424883314074,1.6513474245369202,292.9396159607259,0.029904731842439573,,,,,,,
1.4999999999999456,39.97276783888846,180.12736303201734,0.1249064649938812,9.083981329008123,0.22725424883314074,1.6513474245369202,292.9178500291173,0.02987375546962911,,,,,,,
1.5009999999999455,39.946283545642586,180.10059845226877,0.12483298178786248,9.077962660840656,0.22725424883314074,1.6513474245369202,292.89608733223866,0.02984280192190305,,,,,,,
1.5019999999999454,39.919818766021564,180.0738398379639,0.12475954726855673,9.071948427227346,0.22725424883314074,1.6513474245369202,292.8743278693689,0.029811871180748115,,,,,,,
1.5029999999999453,39.89337348419918,180.04708718732994,0.12468616140009174,9.065938624571622,0.2272542488331408,1.6513474245369202,292.8525716397872,0.029780963227667444,,,,,,,
1.5039999999999452,39.86694768436328,180.02034049859472,0.12461282414662442,9.0599332492801,0.2272542488331408,1.6513474245369202,292.83081864277284,0.029750078044180554,,,,,,,
1.504999999999945,39.84054135071567,179.99359976998676,0.12453953547234058,9.053932297762573,0.2272542488331408,1.6513474245369202,292.8090688776052,0.029719215611823238,,,,,,,
1.505999999999945,39.814154467472164,179.96686499973518,0.12446629534145537,9.047935766432023,0.22725424883314077,1.6513474245369202,292.78732234356426,0.029688375912147763,,,,,,,
1.5069999999999448,39.78778701886254,179.94013618606985,0.12439310371821266,9.041943651704596,0.22725424883314077,1.6513474245369202,292.76557903992983,0.02965755892672263,,,,,,,
1.5079999999999447,39.76143898913051,179.9134133272212,0.12431996056688555,9.03595594999961,0.22725424883314074,1.6513474245369202,292.7438389659822,0.029626764637132708,,,,,,,
1.5089999999999446,39.73511036253377,179.8866964214204,0.12424686585177594,9.029972657739558,0.22725424883314074,1.6513474245369202,292.7221021210017,0.029595993024979107,,,,,,,
1.5099999999999445,39.70880112334392,179.8599854668992,0.12417381953721478,9.023993771350098,0.22725424883314074,1.6513474245369202,292.70036850426885,0.029565244071879278,,,,,,,
1.5109999999999444,39.68251125584648,179.83328046189007,0.12410082158756183,9.018019287260046,0.2272542488331408,1.6513474245369202,292.67863811506464,0.029534517759466895,,,,,,,
1.5119999999999443,39.65624074434086,179.8065814046261,0.12402787196720577,9.012049201901375,0.2272542488331408,1.6513474245369202,292.65691095267,0.029503814069391874,,,,,,,
1.5129999999999442,39.629989573140385,179.779888293341,0.12395497064056422,9.00608351170922,0.22725424883314077,1.6513474245369202,292.6351870163661,0.029473132983320386,,,,,,,
1.513999999999944,39.60375772657226,179.7532011262693,0.1238821175720836,9.000122213121875,0.2272542488331408,1.6513474245369202,292.61346630543454,0.029442474482934848,,,,,,,
1.514999999999944,39.57754518897751,179.72651990164596,0.12380931272623903,8.994165302580768,0.22725424883314077,1.6513474245369202,292.59174881915703,0.029411838549933813,,,,,,,
1.5159999999999438,39.55135194471105,179.69984461770676,0.12373655606753457,8.98821277653049,0.22725424883314074,1.6513474245369202,292.5700345568153,0.029381225166032074,,,,,,,
1.5169999999999437,39.52517797814163,179.67317527268804,0.12366384756050292,8.982264631418774,0.2272542488331408,1.6513474245369202,292.5483235176915,0.029350634312960554,,,,,,,
1.5179999999999436,39.499023273651794,179.6465118648269,0.12359118716970567,8.976320863696484,0.2272542488331408,1.6513474245369202,292.52661570106795,0.029320065972466395,,,,,,,
1.5189999999999435,39.472887815637925,179.61985439236093,0.12351857485973296,8.970381469817632,0.22725424883314077,1.6513474245369202,292.5049111062272,0.02928952012631282,,,,,,,
1.5199999999999434,39.446771588510195,179.59320285352854,0.12344601059520366,8.964446446239364,0.2272542488331408,1.6513474245369202,292.483209732452,0.029258996756279188,,,,,,,
1.5209999999999433,39.42067457669255,179.5665572465687,0.12337349434076526,8.958515789421954,0.22725424883314074,1.6513474245369202,292.46151157902517,0.02922849584416095,,,,,,,
1.5219999999999432,39.39459676462271,179.53991756972104,0.1233010260610941,8.95258949582881,0.22725424883314074,1.6513474245369202,292.43981664523005,0.029198017371769754,,,,,,,
1.522999999999943,39.368538136752164,179.5132838212259,0.12322860572089485,8.946667561926468,0.22725424883314074,1.6513474245369202,292.4181249303499,0.02916756132093319,,,,,,,
1.523999999999943,39.342498677546146,179.48665599932423,0.12315623328490091,8.940749984184583,0.22725424883314074,1.6513474245369202,292.3964364336684,0.029137127673495,,,,,,,
1.5249999999999428,39.3164783714836,179.46003410225762,0.12308390871787421,8.934836759075932,0.2272542488331408,1.6513474245369202,292.37475115446927,0.029106716411314924,,,,,,,
1.5259999999999427,39.290477203057186,179.4334181282683,0.12301163198460519,8.928927883076401,0.22725424883314074,1.6513474245369202,292.35306909203655,0.02907632751626877,,,,,,,
1.5269999999999426,39.2644951567733,179.40680807559923,0.12293940304991285,8.923023352665009,0.22725424883314074,1.6513474245369202,292.3313902456545,0.02904596097024837,,,,,,,
1.5279999999999425,39.23853221715201,179.38020394249395,0.12286722187864461,8.917123164323876,0.2272542488331408,1.6513474245369202,292.3097146146075,0.029015616755161493,,,,,,,
1.5289999999999424,39.21258836872706,179.35360572719665,0.12279508843567638,8.911227314538221,0.22725424883314077,1.6513474245369202,292.2880421981803,0.028985294852931963,,,,,,,
1.5299999999999423,39.18666359604587,179.3270134279522,0.12272300268591256,8.905335799796386,0.22725424883314077,1.6513474245369202,292.26637299565766,0.02895499524549957,,,,,,,
1.5309999999999422,39.16075788366949,179.30042704300615,0.12265096459428579,8.899448616589806,0.2272542488331408,1.6513474245369202,292.24470700632463,0.028924717914819997,,,,,,,
1.531999999999942,39.134871216172634,179.27384657060463,0.12257897412575722,8.893565761413015,0.2272542488331408,1.6513474245369202,292.2230442294666,0.028894462842864933,,,,,,,
1.532999999999942,39.109003578143636,179.24727200899446,0.12250703124531642,8.887687230763648,0.2272542488331408,1.6513474245369202,292.201384664369,0.028864230011621986,,,,,,,
1.5339999999999419,39.08315495418442,179.22070335642312,0.12243513591798111,8.881813021142424,0.22725424883314074,1.6513474245369202,292.17972831031767,0.028834019403094643,,,,,,,
1.5349999999999417,39.057325328910544,179.1941406111387,0.12236328810879737,8.87594312905317,0.2272542488331408,1.6513474245369202,292.15807516659834,0.028803830999302282,,,,,,,
1.5359999999999416,39.03151468695114,179.16758377138996,0.12229148778283977,8.870077551002781,0.22725424883314072,1.6513474245369202,292.13642523249723,0.028773664782280224,,,,,,,
1.5369999999999415,39.005723012948906,179.14103283542633,0.12221973490521085,8.864216283501255,0.22725424883314074,1.6513474245369202,292.11477850730074,0.028743520734079597,,,,,,,
1.5379999999999414,38.9799502915601,179.11448780149786,0.12214802944104147,8.858359323061656,0.22725424883314074,1.6513474245369202,292.0931349902953,0.028713398836767365,,,,,,,
